,year,state_po,candidatevotes_rep,totalvotes,candidatevotes_dem,raw_lean,adjusted_lean,compound_lean
158,2016,CO,1202484.0,2780220,1338870.0,-0.049055830114163645,-0.028090921733812835,-0.024643132987038158
159,2016,CT,673215.0,1644920,897572.0,-0.1363938671789509,-0.1154289587986001,-0.12032574687926201
160,2016,DC,12723.0,311268,282830.0,-0.8677634707069148,-0.846798562326564,-0.8343377639372634
161,2016,DE,185127.0,442997,235603.0,-0.11394208087187946,-0.09297717249152865,-0.1064497222859479
162,2016,FL,4617886.0,9420039,4504975.0,0.011986256107856863,0.032951164488207674,0.0323693691834742
163,2016,GA,2089104.0,4114711,1877963.0,0.05131368885931481,0.07227859723966562,0.08359928326873127
164,2016,HI,128847.0,428937,266891.0,-0.32182814725705644,-0.30086323887670563,-0.3225012170493552
165,2016,IA,800983.0,1566031,653669.0,0.09406838051098604,0.11503328889133685,0.08159781069359652
166,2016,ID,409055.0,690433,189765.0,0.31761228098888666,0.3385771893692375,0.3435497309527621
167,2016,IL,2146015.0,5558707,3090729.0,-0.16995211296439977,-0.14898720458404896,-0.1440721011452849
168,2016,IN,1557286.0,2734958,1033126.0,0.19165193761659233,0.21261684599694314,0.19480642227224887
169,2016,KS,671018.0,1184403,427005.0,0.20602193679009595,0.22698684517044676,0.2341208096874992
170,2016,KY,1202971.0,1924149,628854.0,0.2983745021825233,0.3193394105628741,0.3060823064184715
171,2016,LA,1178638.0,2029032,780154.0,0.1963911855505483,0.2173560939308991,0.21588306479523092
172,2016,MA,1090893.0,3274555,1995196.0,-0.2761605775441244,-0.25519566916377356,-0.23939496399366145
173,2016,MD,943169.0,2781446,1677928.0,-0.264164395066451,-0.2431994866861002,-0.23774254703138153
174,2016,ME,334945.0,743941,354718.0,-0.026578720624350627,-0.005613812243999816,-0.03231914146289906
175,2016,MI,2279543.0,4799284,2268839.0,0.00223033269129308,0.02319524107164389,0.0035014244301129482
176,2016,MN,1322951.0,2944813,1367716.0,-0.01520130480271581,0.005763603577635001,-0.005064338349091424
177,2016,MO,1594511.0,2807381,1071068.0,0.1864524266567309,0.2074173350370817,0.1888619528918218
178,2016,MS,700714.0,1209357,485131.0,0.17826249817051543,0.19922740655086624,0.18800998699625548
179,2016,MT,279240.0,497147,177709.0,0.20422732109416325,0.22519222947451406,0.21288406311982844
180,2016,NC,2362631.0,4741564,2189316.0,0.036552285279709384,0.057517193660060195,0.05809134814185998
181,2016,ND,216794.0,344360,93758.0,0.35728888372633294,0.37825379210668375,0.3425844873380829
182,2016,NE,495961.0,844187,284494.0,0.2504978162421359,0.2714627246224867,0.26788495195378903
183,2016,NH,345790.0,744296,348526.0,-0.003675956877371378,0.017288951502979433,0.00887440465075448
184,2016,NJ,1601933.0,3874046,2148278.0,-0.14102697799664748,-0.12006206961629667,-0.124668191095935
185,2016,NM,319667.0,798319,385234.0,-0.0821313284539138,-0.06116642007356299,-0.061400185674487504
186,2016,NV,512058.0,1125385,539260.0,-0.02417128360516624,-0.0032063752248154276,-0.009258901907327546
187,2016,NY,2814589.0,7707363,4547562.0,-0.2248464228297019,-0.2038815144493511,-0.2174346759134027
188,2016,OH,2841005.0,5496487,2394164.0,0.0812957439906617,0.1022606523710125,0.07909793641264248
189,2016,OK,949136.0,1452992,420375.0,0.36391184535083465,0.38487675373118546,0.38236737809759824
190,2016,OR,782403.0,2001336,1002106.0,-0.10977816818365327,-0.08881325980330246,-0.08698536945898969
191,2016,PA,2970733.0,6115402,2926441.0,0.007242696391831671,0.028207604772182482,0.017513938492097578
192,2016,RI,180490.0,463416,251888.0,-0.15406891432319986,-0.13310400594284905,-0.15855326379460566
193,2016,SC,1155389.0,2103027,855373.0,0.14265912896030342,0.16362403734065423,0.15874898671086685
194,2016,SD,227721.0,370093,117458.0,0.2979332221900981,0.3188981305704489,0.29407973980493474
195,2016,TN,1522925.0,2508027,870695.0,0.2600570089556452,0.281021917335996,0.27162190140147935
196,2016,TX,4685047.0,8969226,3877868.0,0.08999427598323423,0.11095918436358504,0.13252665031755395
197,2016,UT,515231.0,1131430,310676.0,0.18079333233165112,0.20175824071200193,0.2812690628049496
198,2016,VA,1769443.0,3984631,1981473.0,-0.053211953628830355,-0.032247045248479544,-0.024020454601807115
199,2016,VT,95369.0,315077,178573.0,-0.26407513084103246,-0.24311022246068165,-0.26147924042552334
200,2016,WA,1221747.0,3209214,1742718.0,-0.16233601124761393,-0.14137110286726312,-0.13335205523523008
201,2016,WI,1404440.0,2975753,1381823.0,0.0076004292022892606,0.02856533758264007,0.014177677717269327
202,2016,WV,489371.0,713051,188794.0,0.42153646793847843,0.44250137631882924,0.4086153924362487
203,2016,WY,174419.0,255849,55973.0,0.46295275729043306,0.48391766567078387,0.474845798198955
